#OTU ID	SZ.SC4	SZ.SC7	SZ.SC5	SZ.SC2	SZ.SC1	SZ.SC6	SZMB12	SZMB7	SZMB6	SZMB5	SZMB9	SZMB10
863612	0	0	0	0	0	0	0	0	1	0	0	0
861807	0	0	0	0	1	5	0	0	0	0	0	0
873972	77	39	932	145	0	1821	0	0	0	0	0	0
870421	1	0	0	0	0	1	0	0	42	0	0	0
868791	0	0	0	0	1	0	0	0	0	0	0	0
95608	0	0	271	5	0	25	0	0	0	0	0	0
95597	0	4	0	369	21	0	21	47	78	4	0	30
889025	0	0	101	2	0	2	0	0	0	0	0	0
874627	0	0	0	0	0	0	13	0	77	0	60	1
876705	0	0	0	0	0	0	0	0	0	0	81	198
875709	1	0	0	0	0	0	0	4	0	0	0	0
875290	0	0	0	0	0	0	2	0	0	0	0	0
879327	0	0	0	0	0	0	0	2	3	1	0	2
881857	0	0	0	1	0	0	0	0	0	0	0	0
91962	58	8	295	17	0	392	0	0	0	0	0	0
906051	0	4	0	0	0	1	0	0	0	0	0	0
891031	0	0	31	1	0	7	0	0	0	0	0	0
894774	1	1	0	2	1	31	0	0	0	0	0	0
900973	0	0	0	1	0	0	0	0	0	0	0	0
919466	0	10	1	1	0	0	0	0	0	0	0	0
918313	0	0	0	0	0	0	1	0	1	0	0	0
913867	2	0	8	0	0	7	0	0	0	0	0	0
913036	0	0	0	0	0	0	17	1	0	9	0	3
907096	0	0	4	0	0	0	1	1	1	0	0	0
918389	0	0	0	0	0	1	0	0	0	0	0	0
95503	0	0	0	0	0	0	1	0	3	104	0	0
92043	0	0	1	0	2	0	0	1	1	0	0	0
949789	0	8	0	2	0	0	0	0	0	0	0	0
94077	0	0	0	0	0	0	45	8	0	0	7	0
938794	0	0	2	1	0	2	0	0	0	0	0	0
933546	1	0	0	0	0	0	0	0	0	0	0	0
922239	0	0	0	0	0	0	0	0	0	0	0	1
940433	0	0	0	0	0	0	0	1	0	0	0	0
938948	0	1	0	0	0	0	0	0	0	0	0	0
940737	0	1	4	0	0	0	0	0	0	0	0	0
947930	0	0	5	1	0	0	0	0	0	0	0	0
941087	0	0	0	0	0	0	0	0	0	1	0	0
949327	0	0	0	0	0	1	0	0	0	0	0	0
